2023-02-05 01:27:21 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (9058017d092a46e88ca3e51b19d94717)] -> id: downloadButton]
2023-02-05 01:27:21 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (9058017d092a46e88ca3e51b19d94717)] -> id: downloadButton]
2023-02-05 01:29:30 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:29:33 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:29:33 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:29:33 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:29:33 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (42f54681a39d70a235008fa8a1a3d1e5)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:29:33 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (42f54681a39d70a235008fa8a1a3d1e5)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:29:33 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:29:33 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:29:33 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:29:33 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:29:33 INFO  WebdriverEvents:102 - Clicking on [[ChromeDriver: chrome on WINDOWS (42f54681a39d70a235008fa8a1a3d1e5)] -> id: downloadButton]
2023-02-05 01:29:33 INFO  WebdriverEvents:108 - Clicked on [[ChromeDriver: chrome on WINDOWS (42f54681a39d70a235008fa8a1a3d1e5)] -> id: downloadButton]
2023-02-05 01:30:25 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:30:27 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:30:27 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:30:27 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:30:27 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (46a16bb6a9c142dc47f1e95c18db872c)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:30:27 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (46a16bb6a9c142dc47f1e95c18db872c)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:30:27 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:30:27 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:30:27 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:30:27 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:30:27 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (46a16bb6a9c142dc47f1e95c18db872c)] -> id: downloadButton]
2023-02-05 01:30:27 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (46a16bb6a9c142dc47f1e95c18db872c)] -> id: downloadButton]
2023-02-05 01:51:21 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:51:23 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:51:23 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:51:23 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:51:23 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (88df3241d79f3be463d8712800543cf1)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:51:23 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (88df3241d79f3be463d8712800543cf1)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:51:23 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:51:23 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:51:23 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:51:23 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:51:23 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (88df3241d79f3be463d8712800543cf1)] -> id: downloadButton]
2023-02-05 01:51:23 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (88df3241d79f3be463d8712800543cf1)] -> id: downloadButton]
2023-02-05 01:52:08 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:52:10 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:52:10 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:52:10 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:52:10 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (8ecb67544f184cc71d38b64dc39012f5)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:52:10 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (8ecb67544f184cc71d38b64dc39012f5)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:52:10 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:52:10 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:52:10 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
